City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed
0,Ushuaia,AR,2021-10-28 00:12:03,-54.8,-68.3,47.86,53,20,12.66
1,Colac,AU,2021-10-28 00:12:03,-38.3333,143.5833,66.16,61,39,3.36
2,Touros,BR,2021-10-28 00:12:03,-5.1989,-35.4608,79.59,76,4,16.75
3,Hasaki,JP,2021-10-28 00:12:04,35.7333,140.8333,62.82,62,100,14.09
4,Cape Town,ZA,2021-10-28 00:08:52,-33.9258,18.4232,63.88,85,40,6.91
5,Victoria,HK,2021-10-28 00:07:49,22.2855,114.1577,78.33,79,86,1.01
6,Bambous Virieux,MU,2021-10-28 00:12:04,-20.3428,57.7575,71.22,69,3,8.39
7,Ribeira Grande,PT,2021-10-28 00:12:05,38.5167,-28.7,68.14,75,98,17.6
8,Atuona,PF,2021-10-28 00:12:05,-9.8,-139.0333,77.61,70,6,14.67
9,Port Elizabeth,ZA,2021-10-28 00:12:05,-33.918,25.5701,66.0,82,100,16.4
10,Tuktoyaktuk,CA,2021-10-28 00:12:06,69.4541,-133.0374,27.21,97,94,5.21
11,Butaritari,KI,2021-10-28 00:12:06,3.0707,172.7902,80.78,75,100,10.2
12,Torbay,CA,2021-10-28 00:09:29,47.6666,-52.7314,39.58,91,90,12.66
13,Yuryevets,RU,2021-10-28 00:12:07,57.3201,43.1041,42.85,85,97,15.26
14,Palmer,US,2021-10-28 00:12:07,42.1584,-72.3287,52.59,79,90,3.44
15,Vaini,TO,2021-10-28 00:12:07,-21.2,-175.2,78.96,83,20,12.66
16,Bethel,US,2021-10-28 00:12:08,41.3712,-73.414,54.72,85,75,3.44
17,Olafsvik,IS,2021-10-28 00:12:08,64.8945,-23.7142,39.6,96,100,28.32
18,Hermanus,ZA,2021-10-28 00:12:09,-34.4187,19.2345,61.9,96,89,3.85
19,Clearlake,US,2021-10-28 00:12:09,38.9582,-122.6264,71.71,67,36,1.36
20,Beringovskiy,RU,2021-10-28 00:12:09,63.05,179.3167,9.61,77,61,13.85
21,Pathein,MM,2021-10-28 00:12:10,16.7833,94.7333,74.59,93,82,5.06
22,Tevriz,RU,2021-10-28 00:12:10,57.509,72.4042,31.08,88,100,7.47
23,Wewak,PG,2021-10-28 00:12:10,-3.5534,143.6268,84.25,73,55,4.85
24,Koungou,YT,2021-10-28 00:12:11,-12.7336,45.2042,76.71,88,0,8.05
25,Jacksonville,US,2021-10-28 00:11:06,30.3322,-81.6556,71.26,81,75,1.01
26,Hobart,AU,2021-10-28 00:12:11,-42.8794,147.3294,70.27,62,49,3.0
27,Kapaa,US,2021-10-28 00:12:12,22.0752,-159.319,83.19,71,1,3.0
28,Carnarvon,AU,2021-10-28 00:12:12,-24.8667,113.6333,68.07,40,95,14.97
29,Punta Arenas,CL,2021-10-28 00:07:48,-53.15,-70.9167,48.31,61,0,4.61
30,Bluff,NZ,2021-10-28 00:12:12,-46.6,168.3333,58.46,71,6,9.6
31,Jamestown,US,2021-10-28 00:08:10,42.097,-79.2353,48.02,91,1,1.01
32,Provideniya,RU,2021-10-28 00:12:13,64.3833,-173.3,19.51,68,90,6.71
33,Busselton,AU,2021-10-28 00:12:13,-33.65,115.3333,54.05,64,81,8.63
34,Isangel,VU,2021-10-28 00:12:14,-19.55,169.2667,80.94,73,100,2.42
35,Birobidzhan,RU,2021-10-28 00:12:14,48.8,132.95,41.2,59,8,3.36
36,Hoquiam,US,2021-10-28 00:12:14,46.9809,-123.8893,53.58,63,90,4.61
37,Constitucion,CL,2021-10-28 00:12:14,-35.3333,-72.4167,54.91,84,19,11.81
38,Tahta,EG,2021-10-28 00:12:15,26.7693,31.5021,75.87,26,0,2.64
39,Longyearbyen,SJ,2021-10-28 00:12:15,78.2186,15.6401,21.04,68,75,6.91
40,Saskylakh,RU,2021-10-28 00:12:16,71.9167,114.0833,-6.75,100,100,4.27
41,Harlingen,US,2021-10-28 00:08:57,26.1906,-97.6961,87.98,28,1,10.36
42,Port Alfred,ZA,2021-10-28 00:12:16,-33.5906,26.891,66.88,83,100,26.13
43,Tezu,IN,2021-10-28 00:12:16,27.9167,96.1667,64.87,52,7,4.32
44,Thompson,CA,2021-10-28 00:12:17,55.7435,-97.8558,39.83,97,100,5.32
45,Mackay,AU,2021-10-28 00:12:17,-21.15,149.2,87.67,63,36,8.86
46,Mataura,NZ,2021-10-28 00:12:17,-46.1927,168.8643,70.05,47,7,4.07
47,Lagoa,PT,2021-10-28 00:12:18,39.05,-27.9833,66.92,75,79,22.68
48,Vestmannaeyjar,IS,2021-10-28 00:13:18,63.4427,-20.2734,42.4,71,33,11.03
49,Mar Del Plata,AR,2021-10-28 00:10:15,-38.0023,-57.5575,66.22,77,0,8.05
50,Leh,IN,2021-10-28 00:13:19,34.1667,77.5833,22.39,62,1,4.68
51,Xichang,CN,2021-10-28 00:13:19,27.8964,102.2634,55.69,85,99,2.55
52,Albany,US,2021-10-28 00:13:19,42.6001,-73.9662,50.99,72,100,5.57
53,College,US,2021-10-28 00:13:20,64.8569,-147.8028,28.35,88,75,4.61
54,Vilhena,BR,2021-10-28 00:13:20,-12.7406,-60.1458,73.96,74,92,2.39
55,Barrow,US,2021-10-28 00:13:20,71.2906,-156.7887,21.22,79,90,4.61
56,Mykhaylivka,UA,2021-10-28 00:13:21,47.2724,35.2224,40.14,67,2,3.53
57,Narsaq,GL,2021-10-28 00:13:21,60.9167,-46.05,30.42,63,22,7.63
58,Cabo San Lucas,MX,2021-10-28 00:11:40,22.8909,-109.9124,85.95,66,40,3.0
59,Kutum,SD,2021-10-28 00:13:21,14.2,24.6667,70.59,19,11,8.46
60,Zhangye,CN,2021-10-28 00:13:22,38.9342,100.4517,40.6,46,28,3.09
61,Adzope,CI,2021-10-28 00:13:22,6.1069,-3.8619,72.64,98,43,2.1
62,Fayaoue,NC,2021-10-28 00:13:23,-20.65,166.5333,76.87,81,1,11.21
63,Juneau,US,2021-10-28 00:13:23,58.3019,-134.4197,44.65,94,90,5.99
64,Port Hardy,CA,2021-10-28 00:13:23,50.6996,-127.4199,49.86,81,100,4.41
65,Andenes,NO,2021-10-28 00:13:24,69.3143,16.1194,37.38,70,58,27.63
66,Kavieng,PG,2021-10-28 00:13:24,-2.5744,150.7967,85.28,70,69,10.83
67,Comodoro Rivadavia,AR,2021-10-28 00:12:21,-45.8667,-67.5,67.86,30,0,5.75
68,Shellbrook,CA,2021-10-28 00:13:25,53.2168,-106.4011,44.51,54,2,3.4
69,Rikitea,PF,2021-10-28 00:13:25,-23.1203,-134.9692,74.55,74,34,3.38
70,Sao Joao Da Barra,BR,2021-10-28 00:13:25,-21.6403,-41.0511,73.67,89,55,11.3
71,San Patricio,US,2021-10-28 00:13:26,28.017,-97.5169,82.49,25,0,18.05
72,Khatanga,RU,2021-10-28 00:13:26,71.9667,102.5,1.69,95,100,10.78
73,Tasiilaq,GL,2021-10-28 00:13:27,65.6145,-37.6368,32.16,70,28,6.67
74,Netanya,IL,2021-10-28 00:13:27,32.3329,34.8599,66.94,65,1,8.21
75,Otavalo,EC,2021-10-28 00:13:27,0.2333,-78.2667,55.62,93,92,1.7
76,Saint-Philippe,RE,2021-10-28 00:13:28,-21.3585,55.7679,69.39,78,29,5.79
77,Arraial Do Cabo,BR,2021-10-28 00:13:28,-22.9661,-42.0278,72.48,90,100,15.61
78,Mainz,DE,2021-10-28 00:12:50,50.0,8.2711,51.62,89,1,0.0
79,Bengkulu,ID,2021-10-28 00:13:29,-3.8004,102.2655,77.22,81,100,3.56
80,Ponta Do Sol,PT,2021-10-28 00:13:30,32.6667,-17.1,68.72,68,7,2.13
81,Launceston,AU,2021-10-28 00:13:30,-41.45,147.1667,64.04,59,90,10.36
82,Hamilton,US,2021-10-28 00:11:08,39.1834,-84.5333,51.4,83,75,1.99
83,Kargat,RU,2021-10-28 00:13:30,55.1956,80.2811,28.83,59,90,9.26
84,Urumqi,CN,2021-10-28 00:13:31,43.801,87.6005,43.75,46,0,8.95
85,Vostok,RU,2021-10-28 00:13:31,46.4856,135.8833,36.55,79,93,4.99
86,Mahebourg,MU,2021-10-28 00:13:31,-20.4081,57.7,71.26,70,3,8.48
87,Rexburg,US,2021-10-28 00:13:22,43.826,-111.7897,51.78,50,1,11.5
88,Cascais,PT,2021-10-28 00:13:32,38.6979,-9.4215,65.97,52,0,3.0
89,Yumen,CN,2021-10-28 00:14:33,40.2833,97.2,40.1,45,14,13.38
90,Hilo,US,2021-10-28 00:14:33,19.7297,-155.09,82.13,66,1,10.36
91,Iqaluit,CA,2021-10-28 00:14:33,63.7506,-68.5145,25.7,92,49,1.99
92,Penapolis,BR,2021-10-28 00:14:34,-21.4197,-50.0775,72.16,93,98,11.54
93,Chuy,UY,2021-10-28 00:14:34,-33.6971,-53.4616,66.31,74,0,6.04
94,Caravelas,BR,2021-10-28 00:14:34,-17.7125,-39.2481,74.95,83,16,8.59
95,Dieppe,FR,2021-10-28 00:14:35,49.75,1.1667,49.32,86,29,9.8
96,Camabatela,AO,2021-10-28 00:14:35,-8.1881,15.375,63.57,99,99,3.42
97,Santo Antonio Do Sudoeste,BR,2021-10-28 00:14:35,-26.0736,-53.7253,63.19,66,97,3.53
98,Wiang Sa,TH,2021-10-28 00:14:36,8.6359,99.3666,79.79,89,100,2.35
99,Ghanzi,BW,2021-10-28 00:14:36,-21.5667,21.7833,66.18,79,100,12.71
100,Namanga,KE,2021-10-28 00:14:37,-2.5433,36.7905,64.47,79,44,4.27
101,Roma,US,2021-10-28 00:14:37,43.2128,-75.4557,51.12,76,40,5.75
102,Puerto Ayora,EC,2021-10-28 00:14:37,-0.7393,-90.3518,69.55,93,70,1.01
103,Roald,NO,2021-10-28 00:14:37,62.5833,6.1333,55.45,87,90,14.97
104,Kenai,US,2021-10-28 00:11:12,60.5544,-151.2583,39.09,56,20,0.0
105,Yellowknife,CA,2021-10-28 00:14:38,62.456,-114.3525,38.41,99,99,4.0
106,Kargasok,RU,2021-10-28 00:14:38,59.0556,80.8572,23.38,96,25,6.76
107,Graaff-Reinet,ZA,2021-10-28 00:14:39,-32.2522,24.5308,70.5,58,100,9.19
108,Poum,NC,2021-10-28 00:14:39,-20.2333,164.0167,75.74,81,2,9.31
109,Avarua,CK,2021-10-28 00:14:39,-21.2078,-159.775,77.05,69,90,6.91
110,Pevek,RU,2021-10-28 00:14:40,69.7008,170.3133,9.12,90,100,9.84
111,Port Lincoln,AU,2021-10-28 00:14:40,-34.7333,135.8667,61.11,84,69,18.72
112,Nikolskoye,RU,2021-10-28 00:14:40,59.7035,30.7861,46.87,95,100,5.82
113,Airai,TL,2021-10-28 00:14:41,-8.9266,125.4092,71.37,58,99,3.06
114,Tuatapere,NZ,2021-10-28 00:14:41,-46.1333,167.6833,66.22,57,7,1.5
115,Georgetown,MY,2021-10-28 00:14:41,5.4112,100.3354,80.89,88,20,3.44
116,Leshukonskoye,RU,2021-10-28 00:14:42,64.8989,45.7622,21.87,92,99,10.09
117,Atakpame,TG,2021-10-28 00:14:42,7.5333,1.1333,71.6,96,88,3.89
118,Mogocha,RU,2021-10-28 00:14:43,53.7333,119.7667,31.42,73,100,2.82
119,Kodiak,US,2021-10-28 00:13:03,57.79,-152.4072,41.38,59,10,5.79
120,Vanavara,RU,2021-10-28 00:14:43,60.34,102.2797,23.16,57,100,15.46
121,Mainit,PH,2021-10-28 00:14:43,9.535,125.5231,80.94,79,72,2.26
122,Komsomolskiy,UZ,2021-10-28 00:14:44,40.4272,71.7189,48.92,61,100,4.61
123,Muroto,JP,2021-10-28 00:14:44,33.2833,134.15,65.98,60,2,6.67
124,San Quintin,MX,2021-10-28 00:14:44,30.4833,-115.95,70.3,50,0,8.1
125,Kaitangata,NZ,2021-10-28 00:14:44,-46.2817,169.8464,62.26,68,12,7.92
126,Altay,CN,2021-10-28 00:14:45,47.8667,88.1167,36.41,61,68,6.15
127,Berea,US,2021-10-28 00:14:45,41.3662,-81.8543,55.09,93,90,3.44
128,Nome,US,2021-10-28 00:14:45,64.5011,-165.4064,24.87,59,1,3.44
129,Bolkhov,RU,2021-10-28 00:14:46,53.4433,36.0044,39.38,91,68,11.7
130,Kavaratti,IN,2021-10-28 00:14:46,10.5669,72.642,78.58,82,100,3.69
131,Shu,KZ,2021-10-28 00:14:47,43.5983,73.7614,51.57,57,100,6.06
132,Nanortalik,GL,2021-10-28 00:14:47,60.1432,-45.2371,34.41,68,17,7.14
133,Eenhana,NA,2021-10-28 00:15:47,-17.4667,16.3333,74.17,47,68,3.24
134,Yar-Sale,RU,2021-10-28 00:15:48,66.8333,70.8333,13.8,91,72,8.5
135,Port Hedland,AU,2021-10-28 00:15:48,-20.3167,118.5667,82.45,32,0,4.61
136,Kruisfontein,ZA,2021-10-28 00:15:48,-34.0033,24.7314,62.35,89,100,6.58
137,Wuda,CN,2021-10-28 00:15:48,39.4994,106.7117,45.19,47,45,1.7
138,Scharding,AT,2021-10-28 00:15:49,48.4529,13.4372,47.37,93,57,3.31
139,New Norfolk,AU,2021-10-28 00:15:49,-42.7826,147.0587,68.9,44,59,4.0
140,Kununurra,AU,2021-10-28 00:15:49,-15.7667,128.7333,89.58,62,90,4.61
141,Kanniyakumari,IN,2021-10-28 00:15:50,8.0833,77.5667,78.8,81,99,5.91
142,San Andres,CO,2021-10-28 00:15:50,12.5847,-81.7006,84.22,79,20,4.61
143,Elbistan,TR,2021-10-28 00:15:50,38.2059,37.1983,50.61,38,89,1.48
144,Belaya Gora,RU,2021-10-28 00:15:51,68.5333,146.4167,-0.02,91,100,2.33
145,Oktyabrskoye,RU,2021-10-28 00:15:51,43.0645,44.7417,24.94,100,0,4.47
146,Salalah,OM,2021-10-28 00:12:42,17.0151,54.0924,76.89,62,5,3.6
147,High Rock,BS,2021-10-28 00:15:51,26.6208,-78.2833,75.22,62,63,7.34
148,San Bartolome De Tirajana,ES,2021-10-28 00:15:52,27.9248,-15.5733,59.47,66,20,10.36
149,Dikson,RU,2021-10-28 00:15:52,73.5069,80.5464,4.69,97,50,5.19
150,Porto Novo,BJ,2021-10-28 00:15:52,6.4965,2.6036,82.22,88,40,4.52
151,Wonthaggi,AU,2021-10-28 00:15:53,-38.6044,145.5913,70.05,67,58,4.25
152,Katsuura,JP,2021-10-28 00:15:53,35.1333,140.3,66.18,82,99,11.14
153,Cidreira,BR,2021-10-28 00:15:53,-30.1811,-50.2056,67.96,88,0,11.65
154,Candido Mendes,BR,2021-10-28 00:15:54,-1.4467,-45.7167,76.71,86,60,3.89
155,Bredasdorp,ZA,2021-10-28 00:15:54,-34.5322,20.0403,61.92,94,77,4.61
156,Castro,BR,2021-10-28 00:15:54,-24.7911,-50.0119,61.83,91,98,10.92
157,Bambanglipuro,ID,2021-10-28 00:15:55,-7.95,110.2833,79.45,83,100,3.11
158,Saint-Georges,GD,2021-10-28 00:15:55,12.0564,-61.7485,82.08,78,40,9.22
159,Tilichiki,RU,2021-10-28 00:15:55,60.4667,166.1,4.71,85,10,8.48
160,Porto Seguro,BR,2021-10-28 00:15:53,-16.4497,-39.0647,77.52,83,40,8.05
161,Snagov,RO,2021-10-28 00:15:56,44.7,26.1833,45.9,93,4,4.61
162,Belchatow,PL,2021-10-28 00:15:56,51.3688,19.3567,51.49,85,87,6.67
163,Flinders,AU,2021-10-28 00:15:56,-34.5833,150.8552,79.18,62,68,1.99
164,Prince Rupert,CA,2021-10-28 00:15:57,54.3161,-130.3201,49.69,61,76,16.11
165,Isla Vista,US,2021-10-28 00:15:57,34.4133,-119.861,85.68,41,1,0.0
166,Saint-Prosper,CA,2021-10-28 00:15:57,46.2117,-70.4811,40.68,87,16,8.12
167,Taoudenni,ML,2021-10-28 00:15:58,22.6783,-3.9836,85.51,18,95,14.63
168,Madras,IN,2021-10-28 00:15:13,13.0878,80.2785,80.58,83,75,3.44
169,Sao Filipe,CV,2021-10-28 00:15:58,14.8961,-24.4956,79.03,76,95,10.4
170,Lebu,CL,2021-10-28 00:15:58,-37.6167,-73.65,53.04,88,26,13.15
171,Asau,RO,2021-10-28 00:15:59,46.4333,26.4,43.75,79,27,4.41
172,Upernavik,GL,2021-10-28 00:15:59,72.7868,-56.1549,21.22,80,63,3.89
173,Araxa,BR,2021-10-28 00:15:59,-19.5933,-46.9406,67.96,100,40,11.5
174,Honningsvag,NO,2021-10-28 00:16:00,70.9821,25.9704,27.93,64,14,23.47
175,Kungsbacka,SE,2021-10-28 00:16:00,57.4872,12.0761,56.75,95,100,14.0
176,Nouadhibou,MR,2021-10-28 00:16:00,20.931,-17.0347,67.98,77,25,14.97
177,Gasa,PS,2021-10-28 00:16:00,31.5,34.4667,66.9,66,1,8.41
178,Balkanabat,TM,2021-10-28 00:16:01,39.5108,54.3671,45.82,73,4,5.48
179,North Bend,US,2021-10-28 00:14:58,43.4065,-124.2243,65.91,91,90,8.05
180,Axim,GH,2021-10-28 00:17:02,4.8699,-2.2405,76.95,90,41,6.8
181,Panalingaan,PH,2021-10-28 00:17:03,8.7842,117.4231,81.95,78,97,3.15
182,San Carlos De Bariloche,AR,2021-10-28 00:17:03,-41.1456,-71.3082,58.75,31,0,11.5
183,Trincomalee,LK,2021-10-28 00:17:03,8.5711,81.2335,78.26,84,100,5.12
184,Udachnyy,RU,2021-10-28 00:17:04,66.4167,112.4,17.64,81,100,16.55
185,Jiuquan,CN,2021-10-28 00:17:04,39.7432,98.5174,39.97,46,45,5.03
186,Finspang,SE,2021-10-28 00:17:04,58.7058,15.7674,55.51,90,100,8.34
187,Luunja,EE,2021-10-28 00:17:05,58.3558,26.8808,48.54,69,90,19.57
188,Gidam,IN,2021-10-28 00:17:05,18.9833,81.4,67.42,83,86,3.11
189,Bilma,NE,2021-10-28 00:17:05,18.6853,12.9164,79.3,17,0,2.98
